计算机	新闻	2.124
阿拉法特	恐怖	2.124
汽车	航班	2.1
聪明	学生	2.081481481
心理学	恐惧	2.081481481
皮肤	眼睛	2.056
发现	太空	2.055555556
杯子	物质	2.052
墨西哥	巴西	2.044
消费者	能源	2.036
行星	太阳	2.02962963
期刊	协会	2.018518519
医生	人员	2.016
美元	利润	2.014814815
部长	政党	2.008
股票	生活	2.004
马拉松	短跑	2
聪明	笨	2
公告	警告	1.996296296
壁橱	衣服	1.951851852
僧侣	圣人	1.918518519
利润	损失	1.903703704
和平	保险	1.903703704
生活	课	1.9
墓地	林地	1.892592593
学校	中心	1.874074074
灾难	区域	1.864
维护	世界	1.851851852
 白天	 夏天	1.848
偏见	认知	1.84
联邦调查局	指纹	1.82962963
气氛	景观	1.828
剧院	历史	1.803703704
总统	奖章	1.8
先例	认知	1.8
繁殖力	鸡蛋	1.8
 秘书	 参议院	1.796
石油	股票	1.792592593
美洲虎	猫	1.766666667
家庭	计划	1.76
情况	结论	1.737037037
物理	化学	1.732
主教	法师	1.718518519
杯子	食物	1.716
黄瓜	土豆	1.7
原因	准则	1.688
委员会	推荐	1.656
机会	可靠性	1.640740741
街道	地方	1.614814815
视频	档案	1.596296296
肥皂剧	歌剧	1.592592593
领土	表面	1.581481481
发展	议题	1.562962963
美元	损失	1.551851852
 精力	 实验室	1.524
消费者	信心	1.518518519
媒体	交易	1.507407407
报告	收益	1.507407407
阿拉法特	杰克逊	1.488
旅馆	预订	1.47037037
建筑	世纪	1.448
实践	机构	1.444
志愿者	座右铭	1.444
百	百分比	1.4404
海岸	山	1.416
体验	音乐	1.411111111
食物	准备	1.411111111
电话	回话	1.407407407
武器	秘密	1.377777778
红利	运算	1.370740741
床	壁橱	1.359259259
部	文化	1.356
先例	信息	1.351851852
基准	索引	1.322222222
玻璃	金属	1.32
森林	墓地	1.284
音乐	项目	1.276
线	保险	1.274074074
 精力	 秘书	1.244
玻璃	魔术师	1.228
海岸	林地	1.222222222
延迟	新闻	1.22
比赛	系列	1.218518519
先例	法律	1.196296296
注册	安排	1.196296296
 龙虾	 酒	1.192
先例	收集	1.185185185
媒体	增益	1.174074074
和平	计划	1.151851852
安排	住宿	1.144444444
公告	产品	1.12962963
 开始	 年	1.088
火星	水	1.074074074
原因	高血压	1.048148148
重心	生活	1.040740741
世纪	国家	1.033333333
神圣	性	1.025925926
词语	相似度	1.016
星期三	新闻	0.992592593
少数	和平	0.988888889
钱	撤回	0.937037037
街道	孩子	0.925925926
空间	化学	0.922222222
股票	电话	0.92
国王	车	0.907407407
五	月	0.876
歌剧	工业	0.856
试图	和平	0.82962963
糖	方法	0.796
调查	努力	0.788888889
公告	努力	0.776
 美洲虎	 汽车	0.768
到达	旅馆	0.714814815
方向	结合	0.659259259
利润	警告	0.633333333
尺寸	突出	0.618518519
棒球	季节	0.611111111
僧侣	奴隶	0.608
七	系列	0.572
情况	隔离	0.496296296
月	旅馆	0.485185185
先例	组	0.422222222
列表	接近	0.340740741
公鸡	航程	0.325925926
心签名	暂停	0.304
股票	美洲虎	0.304
 教授	 黄瓜	0.296
延迟	种族主义	0.262962963
